"","success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","imageTrial","sequence","nbackTrial","firstTrial","gridTrial","trueDiff","nbackAccuracy"
"12",NA,NA,NA,NA,NA,"html-mouse-response",35,25630,"0.0-35.0",NA,72,"""lesser""",NA,2,TRUE,FALSE,NA,"""lesser""",FALSE
"13",NA,NA,NA,NA,NA,"html-mouse-response",37,26690,"0.0-37.0",NA,76,"""greater""",NA,2,TRUE,FALSE,NA,"""greater""",FALSE
"14",NA,NA,NA,NA,NA,"html-mouse-response",39,27750,"0.0-39.0",NA,74,"""lesser""",NA,2,TRUE,FALSE,NA,"""lesser""",FALSE
"15",NA,NA,NA,NA,NA,"html-mouse-response",41,28809,"0.0-41.0",NA,72,"""lesser""",NA,2,TRUE,FALSE,NA,"""lesser""",FALSE
"16",NA,NA,NA,NA,NA,"html-mouse-response",47,33961,"0.0-47.0",NA,15,"""lesser""",NA,3,TRUE,FALSE,NA,"""greater""",FALSE
"17",NA,NA,NA,NA,NA,"html-mouse-response",49,35018,"0.0-49.0",NA,17,"""greater""",NA,3,TRUE,FALSE,NA,"""greater""",FALSE
"18",NA,NA,NA,NA,NA,"html-mouse-response",51,36076,"0.0-51.0",NA,15,"""lesser""",NA,3,TRUE,FALSE,NA,"""lesser""",FALSE
"19",NA,NA,NA,NA,NA,"html-mouse-response",53,37135,"0.0-53.0",NA,13,"""lesser""",NA,3,TRUE,FALSE,NA,"""lesser""",FALSE
"20",NA,NA,NA,NA,NA,"html-mouse-response",55,38197,"0.0-55.0",NA,15,"""lesser""",NA,3,TRUE,FALSE,NA,"""greater""",FALSE
"21",NA,NA,NA,NA,NA,"html-mouse-response",61,43347,"0.0-61.0",NA,33,"""greater""",NA,4,TRUE,FALSE,NA,"""lesser""",FALSE
"22",NA,NA,NA,NA,NA,"html-mouse-response",63,44401,"0.0-63.0",NA,35,"""lesser""",NA,4,TRUE,FALSE,NA,"""greater""",FALSE
"23",NA,NA,NA,NA,NA,"html-mouse-response",65,45461,"0.0-65.0",NA,33,"""lesser""",NA,4,TRUE,FALSE,NA,"""lesser""",FALSE
"24",NA,NA,NA,NA,NA,"html-mouse-response",67,46520,"0.0-67.0",NA,31,"""lesser""",NA,4,TRUE,FALSE,NA,"""lesser""",FALSE
"25",NA,NA,NA,NA,NA,"html-mouse-response",69,47581,"0.0-69.0",NA,35,"""greater""",NA,4,TRUE,FALSE,NA,"""greater""",FALSE
"26",NA,NA,NA,NA,NA,"html-mouse-response",75,52726,"0.0-75.0",NA,25,"""greater""",NA,5,TRUE,FALSE,NA,"""lesser""",FALSE
"27",NA,NA,NA,NA,NA,"html-mouse-response",77,53783,"0.0-77.0",NA,27,"""greater""",NA,5,TRUE,FALSE,NA,"""greater""",FALSE
"28",NA,NA,NA,NA,NA,"html-mouse-response",79,54841,"0.0-79.0",NA,29,"""greater""",NA,5,TRUE,FALSE,NA,"""greater""",FALSE
"29",NA,NA,NA,NA,NA,"html-mouse-response",81,55901,"0.0-81.0",NA,27,"""lesser""",NA,5,TRUE,FALSE,NA,"""lesser""",FALSE
"30",NA,NA,NA,NA,NA,"html-mouse-response",83,56959,"0.0-83.0",NA,25,"""lesser""",NA,5,TRUE,FALSE,NA,"""lesser""",FALSE
"31",NA,NA,NA,NA,NA,"html-mouse-response",89,62108,"0.0-89.0",NA,71,"""greater""",NA,6,TRUE,FALSE,NA,"""greater""",FALSE
"32",NA,NA,NA,NA,NA,"html-mouse-response",91,63171,"0.0-91.0",NA,69,"""lesser""",NA,6,TRUE,FALSE,NA,"""lesser""",FALSE
"33",NA,NA,NA,NA,NA,"html-mouse-response",93,64232,"0.0-93.0",NA,71,"""greater""",NA,6,TRUE,FALSE,NA,"""greater""",FALSE
"34",NA,NA,NA,NA,NA,"html-mouse-response",95,65291,"0.0-95.0",NA,69,"""lesser""",NA,6,TRUE,FALSE,NA,"""lesser""",FALSE
"35",NA,NA,NA,NA,NA,"html-mouse-response",97,66347,"0.0-97.0",NA,67,"""lesser""",NA,6,TRUE,FALSE,NA,"""lesser""",FALSE
"36",NA,NA,NA,NA,NA,"html-mouse-response",103,71490,"0.0-103.0",NA,32,"""greater""",NA,7,TRUE,FALSE,NA,"""greater""",FALSE
"37",NA,NA,NA,NA,NA,"html-mouse-response",105,72553,"0.0-105.0",NA,34,"""greater""",NA,7,TRUE,FALSE,NA,"""greater""",FALSE
"38",NA,NA,NA,NA,NA,"html-mouse-response",107,73614,"0.0-107.0",NA,30,"""lesser""",NA,7,TRUE,FALSE,NA,"""lesser""",FALSE
"39",NA,NA,NA,NA,NA,"html-mouse-response",109,74672,"0.0-109.0",NA,34,"""greater""",NA,7,TRUE,FALSE,NA,"""greater""",FALSE
"40",NA,NA,NA,NA,NA,"html-mouse-response",111,75730,"0.0-111.0",NA,32,"""lesser""",NA,7,TRUE,FALSE,NA,"""lesser""",FALSE
"41",NA,NA,NA,NA,NA,"html-mouse-response",117,80875,"0.0-117.0",NA,60,"""lesser""",NA,8,TRUE,FALSE,NA,"""lesser""",FALSE
"42",NA,NA,NA,NA,NA,"html-mouse-response",119,81932,"0.0-119.0",NA,64,"""greater""",NA,8,TRUE,FALSE,NA,"""greater""",FALSE
"43",NA,NA,NA,NA,NA,"html-mouse-response",121,82989,"0.0-121.0",NA,60,"""lesser""",NA,8,TRUE,FALSE,NA,"""lesser""",FALSE
"44",NA,NA,NA,NA,NA,"html-mouse-response",123,84048,"0.0-123.0",NA,64,"""greater""",NA,8,TRUE,FALSE,NA,"""greater""",FALSE
"45",NA,NA,NA,NA,NA,"html-mouse-response",125,85106,"0.0-125.0",NA,62,"""lesser""",NA,8,TRUE,FALSE,NA,"""lesser""",FALSE
"46",NA,NA,NA,NA,NA,"html-mouse-response",131,90259,"0.0-131.0",NA,52,"""greater""",NA,9,TRUE,FALSE,NA,"""greater""",FALSE
